ID;Marque;Nom;Gamme;Module;Dimensions;Note;PRIX (à remplir)
477;Cohiba;BHK 58;BEHIKE;Gros robusto;178 mm x 58 (23,01 mm);5⭐;
471;Cohiba;Genios;Maduro 5;Grand robusto;140 mm x 52 (20,64 mm);3⭐;
472;Cohiba;Mágicos;Maduro 5;Robusto;115 mm x 52 (20,64 mm);5⭐;
464;Cohiba;Medio Siglo;Linea 1492;Petit robusto;102 mm x 52 (20,64 mm);4⭐;
461;Cohiba;Panetelas;Linea 1492;Mini-panatella;115 mm x 26 (10,32 mm);4⭐;
462;Cohiba;Pirámides Extra;Linea 1492;Figurado;160 mm x 54 (21,43 mm);4⭐;
463;Cohiba;Robustos;Linea 1492;Robusto;124 mm x 50 (19,84 mm);4⭐;
473;Cohiba;Secretos;Maduro 5;Petit corona;110 mm x 40 (15,87 mm);3⭐;
465;Cohiba;Siglo I;Linea 1492;Très petit corona;102 mm x 40 (15,87 mm);3⭐;
466;Cohiba;Siglo II;Linea 1492;Petit corona;129 mm x 42 (16,67 mm);3⭐;
467;Cohiba;Siglo III;Linea 1492;Grand corona (coronas;155 mm x 42 (16,67 mm);4⭐;
468;Cohiba;Siglo IV;Linea 1492;Corona gorda (coronas;143 mm x 46 (18,26 mm);3⭐;
469;Cohiba;Siglo V;Linea 1492;Lonsdale;170 mm x 43 (17,07 mm);4⭐;
470;Cohiba;Siglo VI;Linea 1492;Grand robusto;150 mm x 52 (20,64 mm);4⭐;
478;Cuaba;Distinguidos;;Figurado;162 mm x 52 (20,64 mm);4⭐;
479;Cuaba;Divinos;;Figurado;101 mm x 43 (17,07 mm);2⭐;
480;Cuaba;Exclusivos;;Figurado;145 mm x 46 (18,26 mm);4⭐;
481;Cuaba;Salomón;;Figurado;184 mm x 57 (22,62 mm);4⭐;
665;Diplomáticos;N° 2;;Figurado;156 mm x 52 (20,64 mm);3⭐;
667;Fonseca;N° 1;;Lonsdale;162 mm x 43 (17,07 mm);4⭐;
490;H. Upmann;Connossieur A;Production Casa del Habano;Grand robusto;140 mm x 52 (20,64 mm);4⭐;
491;H. Upmann;Connossieur B;Production Casa del Habano;Grand robusto;150 mm x 54 (21,43 mm);5⭐;
501;H. Upmann;Magnum 46;Magnum;Corona gorda (coronas;143 mm x 46 (18,26 mm);4⭐;
502;H. Upmann;Magnum 50;Magnum;Grand robusto;160 mm x 50 (19,84 mm);4⭐;
673;H. Upmann;Magnum Finite;Magnum;Robusto;130 mm x 53 (21 mm);4⭐;
670;H. Upmann;Sir Winston;;Churchill;178 mm x 47 (18,65 mm);5⭐;
669;H. Upmann;Upmann N° 2;;Figurado;156 mm x 52 (20,64 mm);4⭐;
684;Hoyo de Monterrey;Epicure N° 1;Epicure;Corona gorda (coronas;143 mm x 46 (18,26 mm);4⭐;
