ID;Marque;Gamme;Vitole;Prix (€);Puissance;Terroir;A_COMPLETER
739;Brick House;MADURO;;13.30;;Nicaragua;PUISSANCE
477;Cohiba;BEHIKE;;;A;Cuba;PRIX
754;Corrida;Brazil;;14.50;;Brésil;PUISSANCE
478;Cuaba;;Distinguidos;22.00;;Cuba;PUISSANCE
769;Don Tomás;CLÁSICO;;5.30;;Honduras;PUISSANCE
777;El Viejo;CONTINENTE MARE NOSTRUM;;13.00;;Nicaragua;PUISSANCE
212;El Viejo;CONTINENTE THE CIRCUS;Gran Vulcano Culebras;15.00;;Nicaragua;PUISSANCE
667;Fonseca;;;11.80;;Cuba;PUISSANCE
486;Fonseca;FONSECA;Cosacos;8.80;;Cuba;PUISSANCE
493;H. Upmann;;Coronas Junior;9.50;;Cuba;PUISSANCE
673;H. Upmann;Magnum;;50.40;;Cuba;PUISSANCE
795;Horacio;Maduro;;20.20;;Nicaragua;PUISSANCE
684;Hoyo de Monterrey;Epicure;;22.00;;Cuba;PUISSANCE
802;Hr Signature;;;24.90;;Nicaragua;PUISSANCE
523;Juan López;Édition régionale France 2024;Dom Juan 1622;32.00;;Cuba;PUISSANCE
809;La Galera;CONNECTICUT;;10.00;;République dominicaine;PUISSANCE
692;Montecristo;;;24.00;;Cuba;PUISSANCE
693;Montecristo;;;16.50;;Cuba;PUISSANCE
694;Montecristo;;;28.50;;Cuba;PUISSANCE
695;Montecristo;;;21.00;;Cuba;PUISSANCE
696;Montecristo;;;13.90;;Cuba;PUISSANCE
691;Montecristo;Édition spéciale Nouvel An chinois;;65.00;;Cuba;PUISSANCE
817;New World;Dorado;;21.00;;Nicaragua;PUISSANCE
824;Oliva;Serie V;;13.00;;Nicaragua;PUISSANCE
837;Padrón;RESERVE;;67.50;;Nicaragua;PUISSANCE
586;Punch;PUNCH;Double Coronas;29.60;;Cuba;PUISSANCE
710;Quai d'Orsay;;;16.00;;Cuba;PUISSANCE
711;Quai d'Orsay;;;15.50;;Cuba;PUISSANCE
713;Quai d'Orsay;;;23.00;;Cuba;PUISSANCE
714;Quai d'Orsay;;;21.00;;Cuba;PUISSANCE
712;Quai d'Orsay;Édition spéciale 50e anniversaire;;;;Cuba;PRIX, PUISSANCE
596;Quintero;QUINTERO;Brevas;4.30;;Cuba;PUISSANCE
717;Ramón Allones;;;18.20;;Cuba;PUISSANCE
718;Romeo y Julieta;Édition spéciale 150e anniversaire;;;;Cuba;PRIX, PUISSANCE
639;San Cristóbal; COLECCIÓN HABANOS;Reinas;;A;Cuba;PRIX
724;Trinidad;;;69.00;;Cuba;PUISSANCE
642;Trinidad;Édition limitée 2024;Cabildos;110.00;;Cuba;PUISSANCE
862;Vegafina;NICARAGUA;;9.90;;Nicaragua;PUISSANCE
653;Vegueros;VEGUEROS;Centrofinos;12.80;;Cuba;PUISSANCE
858;Villa Zamorano;Danlí;;9.60;;Honduras;PUISSANCE
435;Villa Zamorano;ZAMORANO;Toro;9.60;A;;TERROIR
