ID;Marque;Gamme;Vitole/Nom;Module;Dimensions (mm x cepo);Prix (€);Puissance;Terroir;A_COMPLETER
739;Brick House;MADURO;;Gros robusto;;13.30;;Nicaragua;PUISSANCE
477;Cohiba;BEHIKE;laguito n° 6;Gros robusto;178 x 58;;A;Cuba;PRIX
754;Corrida;Brazil;;Gros robusto;;14.50;;Brésil;PUISSANCE
478;Cuaba;;Distinguidos;Figurado;162 x 52;22.00;;Cuba;PUISSANCE
769;Don Tomás;CLÁSICO;;Petit corona;;5.30;;Honduras;PUISSANCE
777;El Viejo;CONTINENTE MARE NOSTRUM;;Grand corona/Culebras;;13.00;;Nicaragua;PUISSANCE
212;El Viejo;CONTINENTE THE CIRCUS;Gran Vulcano Culebras;Figurado;152 x 60;15.00;;Nicaragua;PUISSANCE
667;Fonseca;;cazadores;Lonsdale;;11.80;;Cuba;PUISSANCE
486;Fonseca;FONSECA;Cosacos;Corona;135 x 42;8.80;;Cuba;PUISSANCE
493;H. Upmann;;Coronas Junior;Petit panatella;115 x 36;9.50;;Cuba;PUISSANCE
673;H. Upmann;Magnum;singulares;Robusto;;50.40;;Cuba;PUISSANCE
795;Horacio;Maduro;;Gros robusto;;20.20;;Nicaragua;PUISSANCE
684;Hoyo de Monterrey;Epicure;;Corona gorda (coronas);;22.00;;Cuba;PUISSANCE
802;Hr Signature;;;Figurado;;24.90;;Nicaragua;PUISSANCE
523;Juan López;Édition régionale France 2024;Dom Juan 1622;Grand robusto;150 x 54;32.00;;Cuba;PUISSANCE
809;La Galera;CONNECTICUT;;Corona gorda;;10.00;;République dominicaine;PUISSANCE
692;Montecristo;;cervantes;Lonsdale;;24.00;;Cuba;PUISSANCE
693;Montecristo;;marevas;Petit corona;;16.50;;Cuba;PUISSANCE
694;Montecristo;;pirámides;Figurado;;28.50;;Cuba;PUISSANCE
695;Montecristo;;coronas;Corona;;21.00;;Cuba;PUISSANCE
696;Montecristo;;perlas;Très petit corona;;13.90;;Cuba;PUISSANCE
691;Montecristo;Édition spéciale Nouvel An chinois;venerables;Robusto;;65.00;;Cuba;PUISSANCE
817;New World;Dorado;;Grand robusto;;21.00;;Nicaragua;PUISSANCE
824;Oliva;Serie V;;Petit corona;;13.00;;Nicaragua;PUISSANCE
837;Padrón;RESERVE;;Robusto;;67.50;;Nicaragua;PUISSANCE
586;Punch;PUNCH;Double Coronas;Double corona;194 x 49;29.60;;Cuba;PUISSANCE
710;Quai d'Orsay;;coronas;Corona;;16.00;;Cuba;PUISSANCE
711;Quai d'Orsay;;n° 50;Robusto;;15.50;;Cuba;PUISSANCE
713;Quai d'Orsay;;lanzas;Grand robusto;;23.00;;Cuba;PUISSANCE
714;Quai d'Orsay;;;Grand robusto (edmundo;;21.00;;Cuba;PUISSANCE
712;Quai d'Orsay;Édition spéciale 50e anniversaire;sobresalientes;Grand robusto;;;;Cuba;PRIX, PUISSANCE
596;Quintero;QUINTERO;Brevas;Corona;140 x 40;4.30;;Cuba;PUISSANCE
717;Ramón Allones;;robustos;Robusto;;18.20;;Cuba;PUISSANCE
718;Romeo y Julieta;Édition spéciale 150e anniversaire;sobresalientes;Grand robusto;;;;Cuba;PRIX, PUISSANCE
639;San Cristóbal; COLECCIÓN HABANOS;Reinas;Gros robusto;175 x 55;;A;Cuba;PRIX
724;Trinidad;;dinoras;Grand robusto;;69.00;;Cuba;PUISSANCE
642;Trinidad;Édition limitée 2024;Cabildos;Churchill;165 x 46;110.00;;Cuba;PUISSANCE
862;Vegafina;NICARAGUA;;Robusto;;9.90;;Nicaragua;PUISSANCE
653;Vegueros;VEGUEROS;Centrofinos;Robusto;130 x 50;12.80;;Cuba;PUISSANCE
858;Villa Zamorano;Danlí;;Gros robusto;;9.60;;Honduras;PUISSANCE
435;Villa Zamorano;ZAMORANO;Toro;Toro;152 x 56;9.60;A;;TERROIR
