Marque;Nom du cigare;Terroir;Prix
Aliados Original;Churchill;Honduras;
Antonella;Toro;République dominicaine;
Behind the Scenes;VI;République dominicaine;
Brick House;Mighty;Nicaragua;
CAO;Rothschild;Nicaragua;
Casa Magna;Toro;Nicaragua;
CLE;Robusto 50 x 5;Honduras;
CLE;Robusto 50 x 5;Honduras;
Condega;Édition spéciale;Nicaragua;
Corita ;Vacoa;République dominicaine;
Corrida;Robusto +;Brésil;
Davidoff;N° 2;République dominicaine;
Davidoff;N° 3;République dominicaine;
Davidoff;N° 5;République dominicaine;
Don Tomás;N° 4;Honduras;
El Viejo;Culebras;Nicaragua;
Horacio;1;Nicaragua;
Horacio;V;Nicaragua;
Horacio;VIII;Nicaragua;
Hr Signature;Belicoso;Nicaragua;
La Galera;Pegador;République dominicaine;
Limited;Robusto;Nicaragua;
New World;Toro;Nicaragua;
NUB;460;Nicaragua;
NUB;460;Nicaragua;
Oliva;ÉDITION LIMITÉE 2024;Nicaragua;
Oliva;N° 4;Nicaragua;
Oliva;Toro;Nicaragua;
Oliva;Toro;Nicaragua;
Padrón;50 Years;Nicaragua;
San Pedro De Marcorís;Gran Toro;République dominicaine;
Vegafina;ÉDITION LIMITÉE;République dominicaine;
Vegafina;Short;République dominicaine;
Vegafina;VF 42L;République dominicaine;
Vegafina;VF 46;République dominicaine;
Vegafina;VF 50;République dominicaine;
Vegafina;VF 52;République dominicaine;
Vegafina;VF 54;République dominicaine;
Vegafina;VF 56;République dominicaine;
Villa Zamorano;Toro;Honduras;
