ID;Nom du cigare;Marque;Gamme;Puissance;Terroir
739;Mighty;Brick House;MADURO;;Nicaragua
754;Robusto +;Corrida;Brazil;;Brésil
478;Distinguidos;Cuaba;;;Cuba
769;N° 4;Don Tomás;CLÁSICO;;Honduras
777;Culebras;El Viejo;CONTINENTE MARE NOSTRUM;;Nicaragua
212;Gran Vulcano;El Viejo;CONTINENTE THE CIRCUS;;Nicaragua
667;N° 1;Fonseca;;;Cuba
486;Cosacos;Fonseca;FONSECA;;Cuba
493;Coronas Junior;H. Upmann;;;Cuba
673;Magnum Finite;H. Upmann;Magnum;;Cuba
795;1;Horacio;Maduro;;Nicaragua
684;Epicure N° 1;Hoyo de Monterrey;Epicure;;Cuba
802;Belicoso;Hr Signature;;;Nicaragua
523;Dom Juan 1622;Juan López;Édition régionale France 2024;;Cuba
809;Pegador;La Galera;CONNECTICUT;;République dominicaine
692;N° 1;Montecristo;;;Cuba
694;N° 2;Montecristo;;;Cuba
695;N° 3;Montecristo;;;Cuba
693;N° 4;Montecristo;;;Cuba
696;N° 5;Montecristo;;;Cuba
691;Brillantes;Montecristo;Édition spéciale Nouvel An chinois;;Cuba
817;Toro;New World;Dorado;;Nicaragua
824;N° 4;Oliva;Serie V;;Nicaragua
837;50 Years;Padrón;RESERVE;;Nicaragua
586;Double Coronas;Punch;PUNCH;;Cuba
710;Coronas Claro;Quai d'Orsay;;;Cuba
711;N° 50;Quai d'Orsay;;;Cuba
713;N° 52;Quai d'Orsay;;;Cuba
714;N° 54;Quai d'Orsay;;;Cuba
712;Especial d'Orsay;Quai d'Orsay;Édition spéciale 50e anniversaire;;Cuba
596;Brevas;Quintero;QUINTERO;;Cuba
717;Allones Specially Selected;Ramón Allones;;;Cuba
718;Amantes;Romeo y Julieta;Édition spéciale 150e anniversaire;;Cuba
724;Esmeralda;Trinidad;;;Cuba
642;Cabildos;Trinidad;Édition limitée 2024;;Cuba
862;Robusto;Vegafina;NICARAGUA;;Nicaragua
653;Centrofinos;Vegueros;VEGUEROS;;Cuba
858;Toro;Villa Zamorano;Danlí;;Honduras
435;Toro;Villa Zamorano;ZAMORANO;A;
