Marque;Nom du cigare;Prix
Cohiba;BHK 58;
Cohiba;Genios;
Cohiba;Mágicos;
Cohiba;Medio Siglo;
Cohiba;Panetelas;
Cohiba;Pirámides Extra;
Cohiba;Robustos;
Cohiba;Secretos;
Cohiba;Siglo I;
Cohiba;Siglo II;
Cohiba;Siglo III;
Cohiba;Siglo IV;
Cohiba;Siglo V;
Cohiba;Siglo VI;
Cuaba;Distinguidos;
Cuaba;Divinos;
Cuaba;Exclusivos;
Cuaba;Salomón;
Diplomáticos;N° 2;
Fonseca;N° 1;
H. Upmann;Connossieur A;
H. Upmann;Connossieur B;
H. Upmann;Magnum 46;
H. Upmann;Magnum 50;
H. Upmann;Magnum Finite;
H. Upmann;Sir Winston;
H. Upmann;Upmann N° 2;
Hoyo de Monterrey;Epicure N° 1;
Hoyo de Monterrey;Epicure N°2;
Hoyo de Monterrey;Le Hoyo Río Seco;
José L. Piedra;Conservas;
José L. Piedra;Petit Cazadores;
Juan López;Dom Juan 1622;
Juan López;Selección Especial;
La Gloria Cubana;Podium;
Montecristo;Brillantes;
Montecristo;Double Edmundo;
Montecristo;Dumas;
Montecristo;Eagle;
Montecristo;Edmundo;
Montecristo;Especial;
Montecristo;Leyenda;
Montecristo;Maltés;
Montecristo;N° 1;
Montecristo;N° 2;
Montecristo;N° 3;
Montecristo;N° 4;
Montecristo;N° 5;
Montecristo;Regata;
Montecristo;Slam;
Montecristo;Wide Edmundo;
Partagás;8-9-8;
Partagás;Aliados;
Partagás;Cedros;
Partagás;Línea Maduro N° 2;
Partagás;Lusitanias;
Partagás;Origen;
Partagás;Rito;
Partagás;Salomones;
Por Larrañaga;Prometidos;
Quai d'Orsay;Coronas Claro;
Quai d'Orsay;Especial d'Orsay;
Quai d'Orsay;N° 50;
Quai d'Orsay;N° 52;
Quai d'Orsay;N° 54;
Rafael González;Panetelas Extra;
Ramón Allones;Allones N° 3;
Ramón Allones;Allones Specially Selected;
Romeo y Julieta;Amantes;
Romeo y Julieta;Belicosos;
Romeo y Julieta;Churchills;
Romeo y Julieta;Cupidos;
Romeo y Julieta;Dianas;
Romeo y Julieta;Hidalgos;
Romeo y Julieta;Nobles;
Saint Luis Rey;Regios;
San Cristóbal;Reinas;
Trinidad;Cabildos;
Trinidad;Coloniales;
Trinidad;Esmeralda;
Trinidad;Fundadores;
Trinidad;La Trova;
Trinidad;Media Luna;
Trinidad;Reyes;
Trinidad;Robustos Extra;
Trinidad;Topes;
Trinidad;Vigia;
Vegueros;Tapados;
